Dia,date,Dias del Rango,tasa_bcv,Variacion Diaria %,tasa_binance,Diferencia Neta Entre Tasa BCV - Binance (Bs),Variacion de Tasa BCV entre el dia 1 y el dia 14,Variacion de Tasa Binance entre el dia 1 y el dia 14,gap_percentage,"Tubo 2 x 1 x 0,75mm x 6m (Precio USDT)","Tubo 2 x 1 x 0,75mm x 6m (Precio Dólar a Tasa BCV)",SIN USO,0.6,,,Compra de USDT con Ingreso en Bolivares (INICIAL),Compra de USDT con Ingreso en Bolivares (1era Cuota),Compra de USDT con Ingreso en Bolivares (2da Cuota),Compra de USDT con Ingreso en Bolivares (3era Cuota),Total Reposicion USDT-Cash,Deficit / SuperAvit
Jueves,12/03/2026,59,440.97,,636,,1.09728553,1.001572327,0.912772747,"7,86",11.33628138,,4.716,6.801768828,2999.376,4.716,1.055372318,1.119947027,1.148149968,8.039469313,0.179469313
Miércoles,11/03/2026,58,438.21,,633,,1.102987152,1.006319115,0.912357966,"7,86",11.35387143,,4.716,6.812322859,2985.228,4.716,1.034962913,1.120578257,1.148671945,8.020213115,0.160213115
Martes,10/03/2026,57,436.24,,628,,1.106638548,1.011146497,0.91370981,"7,86",11.31505593,,4.716,6.78903356,2961.648,4.716,1.032571386,1.118486817,1.146972473,8.014030676,0.154030676
Lunes,09/03/2026,56,433.17,,625,,1.112034536,1.024,0.92083471,"7,86",11.34081308,,4.716,6.804487845,2947.5,4.716,1.047870602,1.110125958,1.138097846,8.012094405,0.152094405
Domingo,08/03/2026,55,433.17,,625,,1.11090334,1.0224,0.920332096,"7,86",11.34081308,,4.716,6.804487845,2947.5,4.716,1.048792886,1.1159266,1.138719387,8.019438873,0.159438873
Sábado,07/03/2026,54,433.17,,625,,1.108687121,1.008,0.909183467,"7,86",11.34081308,,4.716,6.804487845,2947.5,4.716,1.047180895,1.120023425,1.152682641,8.035886961,0.175886961
Viernes,06/03/2026,53,431.01,,635,,1.11426649,0.993700787,0.891798143,"7,86",11.58000974,,4.716,6.948005847,2994.66,4.716,1.063650511,1.143646587,1.175153826,8.098450924,0.238450924
Jueves,05/03/2026,52,427.93,,645,,1.122286355,0.978294574,0.871697824,"7,86",11.84703106,,4.716,7.108218634,3041.82,4.716,1.089567856,1.170017723,1.202251481,8.177837061,0.317837061
Miércoles,04/03/2026,51,425.67,,635,,1.12711725,0.995275591,0.883027556,"7,86",11.72528015,,4.716,7.035168088,2994.66,4.716,1.06227538,1.149016859,1.18682593,8.114118169,0.254118169
Martes,03/03/2026,50,421.88,,625,,1.134398407,1.0096,0.889987145,"7,86",11.64430644,,4.716,6.986583863,2947.5,4.716,1.052556717,1.106460092,1.177545098,8.052561906,0.192561906
Lunes,02/03/2026,49,419.99,,615,,1.137217553,1.035772358,0.910795261,"7,86",11.50955975,,4.716,6.905735851,2900.34,4.716,1.04411559,1.095187767,1.15064279,8.005946147,0.145946147
Domingo,01/03/2026,48,419.99,,615,,1.136098479,1.02601626,0.903105038,"7,86",11.50955975,,4.716,6.905735851,2900.34,4.716,1.086628906,1.078799669,1.160440874,8.041869449,0.181869449
Sábado,28/02/2026,47,419.99,,615,,1.134384152,1.037398374,0.914503585,"7,86",11.50955975,,4.716,6.905735851,2900.34,4.716,1.086653226,1.078799669,1.145976918,8.027429813,0.167429813
Viernes,27/02/2026,46,417.36,,620,,1.14153249,1.029032258,0.901448068,"7,86",11.67625072,,4.716,7.005750431,2923.92,4.716,1.093632307,1.094423739,1.162573904,8.06662995,0.20662995
Jueves,26/02/2026,45,414.05,,620,,1.150658133,1.037096774,0.901307473,"7,86",11.76959304,,4.716,7.061755827,2923.92,4.716,1.088058165,1.095712278,1.162755254,8.062525697,0.202525697
Miércoles,25/02/2026,44,411.09,,630,,1.157799995,1.020634921,0.88152956,"7,86",12.04553747,,4.716,7.227322484,2971.08,4.716,1.11184307,1.098011777,1.18884272,8.114697567,0.254697567
Martes,24/02/2026,43,407.38,,605,,1.168344052,1.061157025,0.908257309,"7,86",11.67288527,,4.716,7.00373116,2853.18,4.716,1.081142138,1.065225607,1.153858042,8.016225786,0.156225786
Lunes,23/02/2026,42,405.35,,595,,1.171826816,1.087394958,0.927948518,"7,86",11.53743678,,4.716,6.92246207,2806.02,4.716,1.066169918,1.066038277,1.129372998,7.977581192,0.117581192
Domingo,22/02/2026,41,405.35,,590,,1.170667325,1.089830508,0.930948089,"7,86",11.44048353,,4.716,6.86429012,2782.44,4.716,1.057210507,1.058010362,1.12573409,7.956954959,0.096954959
Sábado,21/02/2026,40,405.35,,580,,1.169483163,1.103448276,0.943534983,"7,86",11.24657703,,4.716,6.747946219,2735.28,4.716,1.039291685,1.038479387,1.110716634,7.904487705,0.044487705
Viernes,20/02/2026,39,402.33,,575,,1.178261626,1.113043478,0.94464884,"7,86",11.23331593,,4.716,6.739989561,2711.7,4.716,1.016623937,1.031805887,1.109406962,7.873836787,0.013836787
Jueves,19/02/2026,38,398.74,,560,,1.18886994,1.142857143,0.96129703,"7,86",11.36331193,,4.716,6.81798716,2718.6042,4.854650358,1.005209731,1.045080355,1.122245421,8.027185866,0.167185866
Miércoles,18/02/2026,37,396.37,,550,,1.195978505,1.172727273,0.980558821,"7,86",11.22712658,,4.716,6.736275946,2670.057697,4.854650358,1.003475269,1.017144154,1.100200383,7.975470164,0.115470164
Martes,17/02/2026,36,396.37,,535,,1.195650529,1.242990654,1.039593614,"7,86",10.92093222,,4.716,6.552559329,2597.237941,4.854650358,0.982895548,0.98716919,1.037723949,7.862439045,0.002439045
Lunes,16/02/2026,35,396.37,,535,,1.195524384,1.241121495,1.038139842,"7,86",10.92093222,,4.716,6.552559329,2597.237941,4.854650358,0.994402671,0.99071692,1.039177138,7.878947087,0.018947087
Domingo,15/02/2026,34,396.37,,540,,1.190049701,1.242592593,1.044151846,"7,86",11.022997,,4.716,6.613798202,2621.511193,4.854650358,1.003696154,1.040692036,1.033193778,7.932232326,0.072232326
Sábado,14/02/2026,33,396.37,,545,,1.190049701,1.231192661,1.034572472,"7,86",11.12506179,,4.716,6.675037074,2645.784445,4.854650358,1.012989637,1.050351581,1.042760387,7.960751963,0.100751963
Viernes,13/02/2026,32,393.22,,550,,1.199582931,1.22,1.01702014,"7,86",11.31706465,,4.716,6.790238789,2670.057697,4.854650358,1.015761312,1.059989873,1.060756959,7.991158502,0.131158502
Jueves,12/02/2026,31,390.29,,555,,1.200415076,1.209009009,1.007159135,"7,86",11.50567932,,4.716,6.903407591,2694.330949,4.854650358,1.024500327,1.063660253,1.071142736,8.013953674,0.153953674
Miércoles,11/02/2026,30,388.74,,555,,1.20028811,1.22972973,1.024528794,"7,86",11.55155523,,4.716,6.930933139,2694.330949,4.854650358,1.005021977,1.066246871,1.052982793,7.978901998,0.118901998
Martes,10/02/2026,29,385.27,,550,,1.200898071,1.229090909,1.023476462,"7,86",11.55059091,,4.716,6.930354548,2670.057697,4.854650358,1.037020325,1.06981524,1.054065463,8.015551386,0.155551386
Lunes,09/02/2026,28,382.63,,544.15,,1.200768366,1.21841404,1.014695319,"7,86",11.50658161,,4.716,6.903948964,2641.657992,4.854650358,1.045197278,1.063318604,1.063187314,8.026353554,0.166353554
Domingo,08/02/2026,27,382.63,,545,,1.194574393,1.209174312,1.012221858,"7,86",11.52455568,,4.716,6.914733411,2645.784445,4.854650358,1.055701389,1.064979581,1.065785314,8.041116641,0.181116641
Sábado,07/02/2026,26,382.63,,550,,1.194548258,1.2,1.004563852,"7,86",11.63028555,,4.716,6.978171332,2670.057697,4.854650358,1.08375546,1.074750036,1.073910024,8.087065877,0.227065877
Viernes,06/02/2026,25,381.11,,545.5,,1.199338774,1.216315307,1.014154911,"7,86",11.5811348,,4.716,6.94868088,2648.21177,4.854650358,1.080449383,1.048101818,1.06375385,8.046955409,0.186955409
